"","strain","set","DPI","aviary","isolate","bird_id","sex","eyescore_right","eyescore_left","rpa_antibodies","mg_abundance","eyescore_sum","status"
"1","west","A",4,"C","CA2006","db.52 (index)","F",0,0,NA,0,0,"alive"
"2","west","A",11,"C","CA2006","db.52 (index)","F",0,0,0.12,0,0,"alive"
"3","west","A",18,"C","CA2006","db.52 (index)","F",0,0,NA,1.62353628,0,"alive"
"4","west","A",25,"C","CA2006","db.52 (index)","F",0,0,0.082,0,0,"alive"
"5","west","A",32,"C","CA2006","db.52 (index)","F",0,0,NA,72216.66013,0,"alive"
"6","west","A",39,"C","CA2006","db.52 (index)","F",0,0,0.046,0,0,"alive"
"7","west","A",46,"C","CA2006","db.52 (index)","F",0,0,NA,0,0,"alive"
"8","west","A",58,"C","CA2006","db.52 (index)","F",0,0,0.061705989,0,0,"alive"
"9","west","A",70,"C","CA2006","db.52 (index)","F",0,0,NA,0,0,"alive"
"10","west","A",4,"C","CA2006","y.91(index)","M",0,0,NA,0,0,"alive"
"11","west","A",11,"C","CA2006","y.91(index)","M",0,0,0.155,1363.41562,0,"alive"
"12","west","A",18,"C","CA2006","y.91(index)","M",0,0,NA,0,0,"alive"
"13","west","A",25,"C","CA2006","y.91(index)","M",0,0,0.068,75.86036503,0,"alive"
"14","west","A",32,"C","CA2006","y.91(index)","M",0,0,NA,0,0,"alive"
"15","west","A",39,"C","CA2006","y.91(index)","M",0,0,0.011,4.192452353,0,"alive"
"16","west","A",46,"C","CA2006","y.91(index)","M",0,0,NA,0,0,"alive"
"17","west","A",58,"C","CA2006","y.91(index)","M",0,0,NA,0,0,"alive"
"18","west","A",70,"C","CA2006","y.91(index)","M",0,0,NA,0,0,"alive"
"19","west","A",4,"D","CA2006","db.99 (index)","F",0,0,NA,0,0,"alive"
"20","west","A",12,"D","CA2006","db.99 (index)","F",2,0,0.095,34.98415591,2,"alive"
"21","west","A",19,"D","CA2006","db.99 (index)","F",0,0,NA,0,0,"alive"
"22","west","A",26,"D","CA2006","db.99 (index)","F",0,0,0.097,0,0,"alive"
"23","west","A",33,"D","CA2006","db.99 (index)","F",0,0,NA,0,0,"alive"
"24","west","A",41,"D","CA2006","db.99 (index)","F",0,0,0.02,0,0,"alive"
"25","west","A",47,"D","CA2006","db.99 (index)","F",0,0,NA,0,0,"alive"
"26","west","A",59,"D","CA2006","db.99 (index)","F",0,0,0.0502693,0,0,"alive"
"27","west","A",70,"D","CA2006","db.99 (index)","F",0,0,NA,0,0,"alive"
"28","west","A",4,"D","CA2006","y.64 (index)","M",0,0,NA,0,0,"alive"
"29","west","A",12,"D","CA2006","y.64 (index)","M",0,0,0.191,0,0,"alive"
"30","west","A",19,"D","CA2006","y.64 (index)","M",0,0,NA,0,0,"alive"
"31","west","A",26,"D","CA2006","y.64 (index)","M",0,0,0.094,0,0,"alive"
"32","west","A",33,"D","CA2006","y.64 (index)","M",0,0,NA,0,0,"alive"
"33","west","A",41,"D","CA2006","y.64 (index)","M",0,0,0.08,0,0,"alive"
"34","west","A",47,"D","CA2006","y.64 (index)","M",0,0,NA,0,0,"alive"
"35","west","A",59,"D","CA2006","y.64 (index)","M",0,0,0.029929577,0,0,"alive"
"36","west","A",70,"D","CA2006","y.64 (index)","M",0,0,NA,0,0,"alive"
"37","west","B",4,"A","CA2006","RBk.RW (index)","F",0,0,NA,0,0,"alive"
"38","west","B",10,"A","CA2006","RBk.RW (index)","F",0,0,NA,0,0,"alive"
"39","west","B",18,"A","CA2006","RBk.RW (index)","F",1,1,0,87507.7,2,"alive"
"40","west","B",24,"A","CA2006","RBk.RW (index)","F",0,0,NA,0,0,"alive"
"41","west","B",32,"A","CA2006","RBk.RW (index)","F",NA,NA,NA,NA,NA,"dead"
"42","west","B",4,"A","CA2006","BO._  (index)","M",0,0,NA,1439460,0,"alive"
"43","west","B",10,"A","CA2006","BO._  (index)","M",2,2,NA,3680,4,"alive"
"44","west","B",18,"A","CA2006","BO._  (index)","M",0,2,0,2034.68,2,"alive"
"45","west","B",24,"A","CA2006","BO._  (index)","M",0,0,NA,0,0,"alive"
"46","west","B",32,"A","CA2006","BO._  (index)","M",0,0,0,0,0,"alive"
"47","west","B",39,"A","CA2006","BO._  (index)","M",0,0,NA,0,0,"alive"
"48","west","B",45,"A","CA2006","BO._  (index)","M",0,0,0,0,0,"alive"
"49","west","B",59,"A","CA2006","BO._  (index)","M",0,0,NA,0,0,"alive"
"50","west","B",70,"A","CA2006","BO._  (index)","M",NA,NA,NA,NA,NA,"dead"
"51","west","B",5,"B","CA2006","GO.R ( index)","F",0,1,NA,238245,1,"alive"
"52","west","B",11,"B","CA2006","GO.R ( index)","F",0,1,NA,0,1,"alive"
"53","west","B",19,"B","CA2006","GO.R ( index)","F",0,0,0,0,0,"alive"
"54","west","B",25,"B","CA2006","GO.R ( index)","F",0,0,NA,0,0,"alive"
"55","west","B",33,"B","CA2006","GO.R ( index)","F",0,0,0,0,0,"alive"
"56","west","B",40,"B","CA2006","GO.R ( index)","F",0,0,NA,0,0,"alive"
"57","west","B",46,"B","CA2006","GO.R ( index)","F",0,0,0,0,0,"alive"
"58","west","B",60,"B","CA2006","GO.R ( index)","F",0,0,NA,0,0,"alive"
"59","west","B",71,"B","CA2006","GO.R ( index)","F",0,0,0,0,0,"alive"
"60","west","B",5,"B","CA2006","BKR._ (index)","M",0,0,NA,117310,0,"alive"
"61","west","B",11,"B","CA2006","BKR._ (index)","M",0,0,NA,0,0,"alive"
"62","west","B",19,"B","CA2006","BKR._ (index)","M",0,0,1,0,0,"alive"
"63","west","B",25,"B","CA2006","BKR._ (index)","M",0,0,NA,0,0,"alive"
"64","west","B",33,"B","CA2006","BKR._ (index)","M",0,0,1,0,0,"alive"
"65","west","B",40,"B","CA2006","BKR._ (index)","M",0,0,NA,242,0,"alive"
"66","west","B",46,"B","CA2006","BKR._ (index)","M",0,0,0,0,0,"alive"
"67","west","B",60,"B","CA2006","BKR._ (index)","M",0,0,NA,0,0,"alive"
"68","west","B",71,"B","CA2006","BKR._ (index)","M",0,0,0,0,0,"alive"
"69","west","D",4,"A","CA2008","Bk._ (index)","M",2,2,NA,72007.5,4,"alive"
"70","west","D",10,"A","CA2008","Bk._ (index)","M",3,3,NA,84157.3,6,"alive"
"71","west","D",17,"A","CA2008","Bk._ (index)","M",3,3,1,1029200000,6,"alive"
"72","west","D",31,"A","CA2008","Bk._ (index)","M",2,2,1,0,4,"alive"
"73","west","D",38,"A","CA2008","Bk._ (index)","M",1,2,NA,0,3,"alive"
"74","west","D",45,"A","CA2008","Bk._ (index)","M",1,1,1,0,2,"alive"
"75","west","D",52,"A","CA2008","Bk._ (index)","M",0,0,NA,0,0,"alive"
"76","west","D",59,"A","CA2008","Bk._ (index)","M",0,0,1,0,0,"alive"
"77","west","D",4,"A","CA2008","Db.P index","F",1,2,NA,335296,3,"alive"
"78","west","D",10,"A","CA2008","Db.P index","F",2,3,NA,295837,5,"alive"
"79","west","D",17,"A","CA2008","Db.P index","F",3,3,1,1117000,6,"alive"
"80","west","D",31,"A","CA2008","Db.P index","F",2,3,1,12900,5,"alive"
"81","west","D",38,"A","CA2008","Db.P index","F",2,2,NA,0,4,"alive"
"82","west","D",45,"A","CA2008","Db.P index","F",1,1,1,0,2,"alive"
"83","west","D",52,"A","CA2008","Db.P index","F",0,1,NA,0,1,"alive"
"84","west","D",59,"A","CA2008","Db.P index","F",0,1,1,0,1,"alive"
"85","west","D",4,"B","CA2008","W.G index","F",2,2,NA,158900,4,"alive"
"86","west","D",10,"B","CA2008","W.G index","F",3,3,NA,7362.05,6,"alive"
"87","west","D",17,"B","CA2008","W.G index","F",3,3,1,24170000,6,"alive"
"88","west","D",31,"B","CA2008","W.G index","F",2,3,1,0,5,"alive"
"89","west","D",38,"B","CA2008","W.G index","F",1,1,NA,0,2,"alive"
"90","west","D",45,"B","CA2008","W.G index","F",0,0,1,0,0,"alive"
"91","west","D",52,"B","CA2008","W.G index","F",0,0,NA,0,0,"alive"
"92","west","D",59,"B","CA2008","W.G index","F",NA,NA,NA,NA,NA,"dead"
"93","west","D",4,"B","CA2008","R.Bk index","M",1,2,NA,5017.8,3,"alive"
"94","west","D",10,"B","CA2008","R.Bk index","M",2,3,NA,4123000,5,"alive"
"95","west","D",17,"B","CA2008","R.Bk index","M",0,1,1,0,1,"alive"
"96","west","D",31,"B","CA2008","R.Bk index","M",1,1,1,0,2,"alive"
"97","west","D",38,"B","CA2008","R.Bk index","M",0,1,NA,0,1,"alive"
"98","west","D",45,"B","CA2008","R.Bk index","M",0,0,1,0,0,"alive"
"99","west","D",52,"B","CA2008","R.Bk index","M",0,0,NA,0,0,"alive"
"100","west","D",59,"B","CA2008","R.Bk index","M",0,0,1,0,0,"alive"
"101","west","B",4,"C","CA2009","LbY._ (index C)","F",0,1,NA,1078900,1,"alive"
"102","west","B",10,"C","CA2009","LbY._ (index C)","F",0,1,NA,0,1,"alive"
"103","west","B",18,"C","CA2009","LbY._ (index C)","F",1,1,0,0,2,"alive"
"104","west","B",24,"C","CA2009","LbY._ (index C)","F",0,1,NA,0,1,"alive"
"105","west","B",32,"C","CA2009","LbY._ (index C)","F",0,1,0,3287.68,1,"alive"
"106","west","B",39,"C","CA2009","LbY._ (index C)","F",0,1,NA,17984.4,1,"alive"
"107","west","B",45,"C","CA2009","LbY._ (index C)","F",0,1,1,0,1,"alive"
"108","west","B",59,"C","CA2009","LbY._ (index C)","F",NA,NA,NA,NA,NA,"dead"
"109","west","B",4,"C","CA2009","BLb.RO (index C)","M",1,1,NA,18844200,2,"alive"
"110","west","B",10,"C","CA2009","BLb.RO (index C)","M",2,2,NA,2769670,4,"alive"
"111","west","B",18,"C","CA2009","BLb.RO (index C)","M",2,3,1,50751,5,"alive"
"112","west","B",24,"C","CA2009","BLb.RO (index C)","M",1,3,NA,18640.8,4,"alive"
"113","west","B",32,"C","CA2009","BLb.RO (index C)","M",0,2,1,52553,2,"alive"
"114","west","B",39,"C","CA2009","BLb.RO (index C)","M",0,1,NA,0,1,"alive"
"115","west","B",45,"C","CA2009","BLb.RO (index C)","M",0,1,1,0,1,"alive"
"116","west","B",59,"C","CA2009","BLb.RO (index C)","M",0,0,NA,0,0,"alive"
"117","west","B",70,"C","CA2009","BLb.RO (index C)","M",0,0,0,0,0,"alive"
"118","west","B",5,"D","CA2009","W.WP (Index D)","F",2,2,NA,1800030,4,"alive"
"119","west","B",11,"D","CA2009","W.WP (Index D)","F",0,1,NA,0,1,"alive"
